titles,type,Office/Agency,dates
Fiscal Year 2018 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,"Published: Jun 21, 2017"
Inspectors General: Improvements Needed to IG Oversight of Architect of the Capitol Operations,Recommendation, Architect of the Capitol,"Published: May 24, 2017"
Architect of the Capitol's Oversight of the Senate Food Service Contract,Update, Architect of the Capitol,"Published: May 12, 2017"
"Capitol Police Board: Fully Incorporating Leading Governance Practices Would Help Enhance Accountability, Transparency, and External Communication",Recommendation,Capitol Police ,"Published: Feb 7, 2017"
"GAO: Summary of Performance and Financial Information, Fiscal Year 2016",Update,GAO,"Published: Jan 18, 2017"
The Nation's Fiscal Health: Action is Needed to Address the Federal Government's Fiscal Future,Recommendation,Congress,"Published: Jan 17, 2017"
State and Local Governments' Fiscal Outlook: 2016 Update,Update,Congress,"Published: Dec 8, 2016"
Inspectors General: Improvements to IG Oversight Needed for Architect of the Capitol Operations,Recommendation,Architect of the Capitol,"Published: Nov 4, 2016"
"Architect of the Capitol: Contracting Function Generally Follows Key Practices, but Certain Improvements Are Needed",Recommendation,Architect of the Capitol,"Published: Apr 7, 2016"
Library Services for Those with Disabilities: Additional Steps Needed to Ease Access to Services and Modernize Technology,Recommendation,Library of Congress,"Published: Apr 4, 2016"
Small Employer Health Tax Credit: Limited Use Continues Due to Multiple Reasons,Update,Congress,"Published: Mar 22, 2016"
Fiscal Year 2017 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,"Published: Mar 21, 2016"
Fiscal Year 2017 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,"Published: Mar 8, 2016"
Credit Reform: Current Method to Estimate Credit Subsidy Costs Is More Appropriate for Budget Estimates Than a Fair Value Approach,Update,Congress,"Published: Jan 29, 2016"
State and Local Governments' Fiscal Outlook: 2015 Update,Update,Congress,"Published: Dec 16, 2015"
Information Technology: Library of Congress Needs to Implement Recommendations to Address Management Weaknesses,Recommendation,Library of Congress,"Published: Dec 2, 2015"
Highlights of a Forum: Preparing for Climate-Related Risks: Lessons from the Private Sector,Summary,GAO,"Published: Nov 19, 2015"
Performance and Accountability Report Fiscal Year 2015,Budget Request,GAO,"Published: Nov 16, 2015"
Patient Protection and Affordable Care Act: Preliminary Results of Undercover Testing of the Federal Marketplace and Selected State Marketplaces for Coverage Year 2015,Update,Congress,"Published: Oct 23, 2015"
Senate Stationery Room Revolving Fund: Audit of Fiscal Year 2014 Cash Receipts and Disbursements,Audit,Congress,"Published: Oct 16, 2015"
Senate Gift Shop Revolving Fund: Audit of Fiscal Year 2014 Cash Receipts and Disbursements,Audit,Congress,"Published: Sep 9, 2015"
Capitol Power Plant: Architect of the Capitol Should Update Its Long-term Energy Plan before Committing to Major Energy Projects,Recommendation,Architect of the Capitol,"Published: Sep 3, 2015"
Senate Office of Public Records Revolving Fund: Audit of Fiscal Year 2014 Cash Receipts,Audit,Congress,"Published: Jul 16, 2015"
Independent Auditor's Report on Applying Agreed-Upon Procedures: Senate Disbursing Office 2015 Cash Count,Audit,Congress,"Published: Jun 24, 2015"
Capitol Preservation Fund: Audit of Fiscal Years 2013 and 2014 Transactions,Audit,Capital Preservation Commission,"Published: Jun 17, 2015"
Senate Preservation Fund: Audit of Fiscal Years 2013 and 2014 Transactions,Audit,Library of Congress,"Published: Jun 17, 2015"
Information Technology: Copyright Office Needs To Develop Plans that Address Technical and Organizational Challenges,Recommendation,Library of Congress,"Published: Mar 31, 2015"
Library of Congress: Strong Leadership Needed to Address Serious Information Technology Management Weaknesses,Recommendation,Library of Congress,"Published: Mar 31, 2015"
Fiscal Year 2016 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,"Published: Mar 10, 2015"
Fiscal Year 2016 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,"Published: Feb 25, 2015"
State and Local Governments' Fiscal Outlook: 2014 Update,Update,Congress,"Published: Dec 17, 2014"
Special Education: Improved Performance Measures Could Enhance Oversight of Dispute Resolution,Recommendation,Department of Education,"Published: Aug 25, 2014"
Long-Term Federal Budget Simulations - Spring 2014 Update,Update,GAO,"Published: Mar 25, 2014"
Architect of the Capitol: Incorporating All Leading Practices Could Improve Accuracy and Credibility of Projects' Cost Estimates,Recommendation,Architect of the Capitol,"Published: Mar 11, 2014"
Fiscal Year 2015 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,"Published: Mar 5, 2014"
Fiscal Year 2015 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,"Published: Jan 15, 2014"
Retirement Security: Trends in Marriage and Work Patterns May Increase Economic Vulnerability for Some Retirees,Summary,GAO,"Published: Jan 16, 2014"
"Public Transit: Challenges Funding, Investing in Systems, and Coordinating Services",Recommendation,Department of Transportation,"Published: Nov 7, 2013"
Federal Courthouses: Better Planning Needed Regarding Reuse of Old Courthouses,Recommendation,Congress,"Published: Oct 31, 2013"
Federal Real Property: GSA Should Clarify Savings Goals for the National Broker Contract Program,Recommendation,General Services Administration (GSA) h,"Published: Sep 16, 2013"
Corporate Tax Expenditures: Evaluations of Tax Deferrals and Graduated Tax Rates,Summary,Congress,"Published: Sep 25, 2013"
Performance Auditing: The Experiences of the United States Government Accountability Office,Audit,GAO,"Published: Aug 15, 2013"
Interstate Compacts: Transparency and Oversight of Bi-State Tolling Authorities Could Be Enhanced,Summary,Department of Transportation,"Published: Jul 2, 2013"
Actions Needed to Improve the Transparency and Reliability of Labor's Data on the H-2A Program,Recommendation,Department of Labor,"Published: May 21, 2013"
Fiscal Year 2014 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,"Published: Apr 17, 2013"
Medicare: Legislative Modifications Have Resulted in Payment Adjustments for Most Hospitals,Study,Congress,"Published: May 1, 2013"
Capitol Preservation Fund: Audit of Fiscal Years 2011 and 2012 Transactions,Audit,Library of Congress,"Published: May 1, 2013"
Senate Preservation Fund: Audit of Fiscal Years 2011 and 2012 Transactions,Audit,Congress,"Published: Apr 29, 2013"
State and Local Governments' Fiscal Outlook: April 2013 Update,Update,Congress,"Published: Mar 26, 2013"
Office of National Drug Control Policy: Office Could Better Identify Opportunities to Increase Program Coordination,Recommendation,Office of National Drug Control Policy,"Published: Mar 26, 2013"