Department/Agency,Count,place
Department of Commerce,22,Executive
Department of Defense,75,Executive
Department of Energy,13,Executive
Department of Health and Human Services,49,Executive
Department of Homeland Security,21,Executive
Department of Housing and Urban Development,6,Executive
Department of Justice,21,Executive
Department of Veterans Affairs,22,Executive
Department of the Treasury,38,Executive
Executive Office of the President,22,Executive
Environmental Protection Agency,17,Independent
National Aeronautics and Space Administration,19,Independent
National Science Foundation,1,Independent
Nuclear Regulatory Commission,6,Independent
Office of Personnel Management,14,Independent
Small Business Administration,8,Independent
Social Security Administration,6,Independent
United States Agency for International Development,11,Executive