Department/Agency,Count
Department of Commerce,22
Department of Defense,75
Department of Energy,13
Department of Health and Human Services,49
Department of Homeland Security,21
Department of Housing and Urban Development,6
Department of Justice,21
Department of Veterans Affairs,22
Department of the Treasury,38
Executive Office of the President,22
Environmental Protection Agency,17
National Aeronautics and Space Administration,19
National Science Foundation,1
Nuclear Regulatory Commission,6
Office of Personnel Management,14
Small Business Administration,8
Social Security Administration,6
United States Agency for International Development,11