PriorityTopic,Count
Agriculture and Food,8
Auditing and Financial Management,61
Budget and Spending,20
Business Regulation and Consumer Protection,5
Economic Development,10
Education,11
Employment,4
Energy,20
Equal Opportunity,1
Financial Markets and Institutions,2
Government Operations,119
Health Care,70
Homeland Security,48
Housing,3
Human Capital,16
Information Management,10
Information Security,15
Information Technology,44
International Affairs,48
Justice and Law Enforcement,43
National Defense,73
Natural Resources and Environment,27
Retirement Security,6
Science and Technology,14
Space,28
Tax Policy and Administration,20
Transportation,8
Veterans,29
Worker and Family Assistance,6