Open Priorities,Count
Agriculture and Food,8
Auditing and Financial Management,61
Budget and Spending,20
Business Regulation and Consumer Protection,5
Economic Development,10
Education,11
Employment,4
Energy,20
Equal Opportunity,1
Financial Markets and Institutions,2
Government Operations,109
Health Care,69
Homeland Security,43
Housing,3
Human Capital,14
Information Security/Technology,62
International Affairs,47
Justice and Law Enforcement,42
National Defense,73
Natural Resources and Environment,28
Retirement Security,6
Science and Technology,9
Space,23
Tax Policy and Administration,20
Transportation,8
Veterans,24
Worker and Family Assistance,6