Date,Cases,Deaths
2017-07-26,408583,1885
2017-07-25,402484,1880
2017-07-24,396086,1869
2017-07-23,390865,1864
2017-07-22,384719,1858
2017-07-21,377894,1847
2017-07-20,372915,1837
2017-07-19,368207,1828
2017-07-18,362545,1817
2017-07-17,356591,1802
2017-07-16,351045,1790
2017-07-15,344751,1784
2017-07-14,338969,1770
2017-07-13,332658,1759
2017-07-12,326082,1743
2017-07-11,320199,1742
2017-07-10,313538,1732
2017-07-07,297438,1706
2017-07-06,291554,1678
2017-07-05,284100,1657
2017-07-04,275987,1634
2017-07-03,269608,1614
2017-07-02,262650,1587
2017-07-01,252816,1560
2017-06-30,246867,1517
2017-06-29,239427,1475
2017-06-28,231364,1439
2017-06-27,224989,1416
2017-06-26,218798,1400
2017-06-25,212217,1368
2017-06-24,208203,1344
2017-06-23,200420,1310
2017-06-22,192983,1265
2017-06-21,185301,1233
2017-06-20,179548,1205
2017-06-19,172286,1170
2017-06-18,166976,1146
2017-06-17,158960,1100
2017-06-14,140116,989
2017-06-13,135207,974
2017-06-12,129185,942
2017-06-10,124002,923
2017-06-07,101820,794
2017-06-04,86422,681
2017-05-30,65357,532
2017-05-27,52140,471
2017-05-22,35471,361