Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total Employment,4022312,3982771,3952532,4017191,4102753,4189761,4230571,4169936,3937964,3897277,3935810,3983155,4051657,4179544
  Core Arts and Cultural Production,119067,116582,113856,113271,115556,119219,121737,123123,121523,121760,125932,128017,129161,131496
    Performing Arts Companies,5787,2924,1461,1239,1348,1311,1381,1334,1426,1237,1477,1510,1575,1519
    Promoters of performing arts and similar events,2215,2942,2767,2915,3038,3150,3045,3144,3080,2987,2770,2663,2543,2440
    Agents/Managers For Artists,224,246,307,263,308,319,405,385,362,560,664,805,948,1172
"    Independent Artists, Writers, And Performers",599,614,744,1028,1025,1118,1264,1190,1177,1030,984,1079,1065,1144
    Museums,1864,1845,2022,2066,2206,2477,2620,2617,2494,2455,2559,2612,2646,2733
    Advertising,11524,10695,10968,11281,11410,12122,12387,12537,11427,11280,12549,12683,12363,13413
    Architectural Services,5345,5145,5002,4788,4841,5302,5617,5590,4257,3650,3597,3535,3735,4074
    Landscape Architectural Services,1121,972,1060,900,889,1011,943,813,542,504,511,510,549,641
    Interior Design Services,933,895,897,938,1032,1074,1130,1071,887,801,820,874,890,1029
    Industrial Design Services,198,207,191,112,125,128,119,128,104,83,142,151,182,180
    Graphic Design Services,2656,2446,2448,2347,2337,2386,2516,2582,2411,2272,2377,2542,2621,2545
    Computer Systems Design,24137,21534,20899,21351,21639,21889,22341,22859,23276,24066,25146,26392,26786,27026
    Photography and Photofinishing Services,4656,4527,4272,4083,3956,3994,3648,3411,2927,2622,2547,2365,2229,2117
    All Other Design Services,53,50,127,126,113,112,109,36,35,38,40,43,46,47
    Fine Arts Education,1124,1183,1365,1457,1520,1583,1616,1680,1663,1706,1735,1738,1789,1821
    Education Services,56631,60357,59326,58377,59769,61243,62596,63746,65455,66469,68014,68515,69194,69595
  Supporting Arts and Cultural Production,1236577,1224212,1206204,1223385,1239330,1252588,1261333,1240773,1174908,1162294,1164725,1153025,1144358,1173978
    Rental and Leasing,8024,7276,8120,8476,8237,7660,7064,6778,5613,4950,4635,4068,3791,3846
    Grant-Making And Giving Services,1909,2217,2206,1979,1670,1754,1798,1770,1593,1397,1465,1633,1597,2400
    Unions,15847,14362,10465,10374,10234,10238,10027,9914,9438,8940,8957,10812,10336,11074
    Government,412815,425584,437896,446792,455632,470655,482111,492590,490154,484482,478604,474158,471531,470959
    Other Support Services,2478,3259,2895,2076,2467,2720,2853,2667,2637,4686,4678,4424,4464,4002
    Publishing,34003,31541,30298,29446,29342,29399,29606,29684,26845,25577,25603,26125,26463,26463
    Motion Pictures,6741,7982,6619,6262,6170,6052,6033,5980,6572,6244,6410,6896,7865,8295
    Sound Recording,650,436,412,411,425,397,347,303,277,256,268,264,254,290
    Broadcasting,61827,54933,49495,47620,45251,43914,44793,45231,45129,43040,43943,43987,43734,45451
    Other Information Services,791,655,450,552,627,603,471,569,651,737,818,871,960,1118
    Retail Industries,383573,378484,373568,375608,384221,391212,391699,377401,351888,341697,350956,344118,340283,357269
  All Other Industries,2666668,2641977,2632472,2680535,2747867,2817954,2847501,2806040,2641533,2613223,2645153,2702113,2778138,2874070